id,Algorithm,Environment,Total reward
1,UMDAc,LunarLanderContinuous-v2,235.5689742795656
1,UMDAc,LunarLanderContinuous-v2,234.69810912110464
1,UMDAc,LunarLanderContinuous-v2,239.5701218050023
1,UMDAc,LunarLanderContinuous-v2,279.6822642760962
1,UMDAc,LunarLanderContinuous-v2,263.8648345505069
1,UMDAc,LunarLanderContinuous-v2,277.54173697378303
1,UMDAc,LunarLanderContinuous-v2,209.64484171405297
1,UMDAc,LunarLanderContinuous-v2,264.8585112891405
1,UMDAc,LunarLanderContinuous-v2,248.381761405999
1,UMDAc,LunarLanderContinuous-v2,289.75727980191857
1,UMDAc,LunarLanderContinuous-v2,260.7508720619901
1,UMDAc,LunarLanderContinuous-v2,294.4925017145044
1,UMDAc,LunarLanderContinuous-v2,243.9769841602829
1,UMDAc,LunarLanderContinuous-v2,312.12822358731626
1,UMDAc,LunarLanderContinuous-v2,289.6177176632583
1,UMDAc,LunarLanderContinuous-v2,273.947639706911
1,UMDAc,LunarLanderContinuous-v2,56.52420440797408
1,UMDAc,LunarLanderContinuous-v2,273.05086949437265
1,UMDAc,LunarLanderContinuous-v2,238.90148752089243
1,UMDAc,LunarLanderContinuous-v2,259.68031886558845
1,UMDAc,LunarLanderContinuous-v2,244.47473845102454
1,UMDAc,LunarLanderContinuous-v2,279.104875312746
1,UMDAc,LunarLanderContinuous-v2,278.94251579802574
1,UMDAc,LunarLanderContinuous-v2,268.0423533929078
1,UMDAc,LunarLanderContinuous-v2,301.6438098745627
1,UMDAc,LunarLanderContinuous-v2,207.1627912362635
1,UMDAc,LunarLanderContinuous-v2,281.296828474933
1,UMDAc,LunarLanderContinuous-v2,251.06053794272995
1,UMDAc,LunarLanderContinuous-v2,263.80688663842045
1,UMDAc,LunarLanderContinuous-v2,295.59878710237837
1,UMDAc,LunarLanderContinuous-v2,23.65236970821502
1,UMDAc,LunarLanderContinuous-v2,194.65210181835147
1,UMDAc,LunarLanderContinuous-v2,292.8577254510562
1,UMDAc,LunarLanderContinuous-v2,285.3762925911406
1,UMDAc,LunarLanderContinuous-v2,269.53382305576497
1,UMDAc,LunarLanderContinuous-v2,307.91767606572864
1,UMDAc,LunarLanderContinuous-v2,266.4077840256991
1,UMDAc,LunarLanderContinuous-v2,286.5512842104847
1,UMDAc,LunarLanderContinuous-v2,259.15705982480733
1,UMDAc,LunarLanderContinuous-v2,234.53718202586734
1,UMDAc,LunarLanderContinuous-v2,256.23217450029745
1,UMDAc,LunarLanderContinuous-v2,289.77413637007794
1,UMDAc,LunarLanderContinuous-v2,257.81382059847533
1,UMDAc,LunarLanderContinuous-v2,84.72444858984724
1,UMDAc,LunarLanderContinuous-v2,271.98684916432376
1,UMDAc,LunarLanderContinuous-v2,258.4486708599842
1,UMDAc,LunarLanderContinuous-v2,298.2257150658338
1,UMDAc,LunarLanderContinuous-v2,308.9711552494756
1,UMDAc,LunarLanderContinuous-v2,264.95115770143894
2,UMDAc,LunarLanderContinuous-v2,233.70453737129665
2,UMDAc,LunarLanderContinuous-v2,258.05769932553017
2,UMDAc,LunarLanderContinuous-v2,292.5828917309147
2,UMDAc,LunarLanderContinuous-v2,266.64025213963475
2,UMDAc,LunarLanderContinuous-v2,294.7116277344177
2,UMDAc,LunarLanderContinuous-v2,230.72279295031626
2,UMDAc,LunarLanderContinuous-v2,289.45580908887575
2,UMDAc,LunarLanderContinuous-v2,288.8818104779193
2,UMDAc,LunarLanderContinuous-v2,256.3335309109847
2,UMDAc,LunarLanderContinuous-v2,168.29436613385698
2,UMDAc,LunarLanderContinuous-v2,319.0043445976397
2,UMDAc,LunarLanderContinuous-v2,244.3798271599042
2,UMDAc,LunarLanderContinuous-v2,295.4864697622059
2,UMDAc,LunarLanderContinuous-v2,298.2172364437958
2,UMDAc,LunarLanderContinuous-v2,270.6889910313823
2,UMDAc,LunarLanderContinuous-v2,249.56882144492684
2,UMDAc,LunarLanderContinuous-v2,289.2874705962392
2,UMDAc,LunarLanderContinuous-v2,253.3513318326132
2,UMDAc,LunarLanderContinuous-v2,274.9310015471861
2,UMDAc,LunarLanderContinuous-v2,83.9342914117309
2,UMDAc,LunarLanderContinuous-v2,279.05780821596073
2,UMDAc,LunarLanderContinuous-v2,303.2251486087696
2,UMDAc,LunarLanderContinuous-v2,265.3977549114496
2,UMDAc,LunarLanderContinuous-v2,170.07633031983747
2,UMDAc,LunarLanderContinuous-v2,294.77739145967337
2,UMDAc,LunarLanderContinuous-v2,306.2706033126062
2,UMDAc,LunarLanderContinuous-v2,287.4770686703211
2,UMDAc,LunarLanderContinuous-v2,294.99845377964414
2,UMDAc,LunarLanderContinuous-v2,275.55954236786204
2,UMDAc,LunarLanderContinuous-v2,292.30269758594505
2,UMDAc,LunarLanderContinuous-v2,303.8249477600463
2,UMDAc,LunarLanderContinuous-v2,277.1377936140379
2,UMDAc,LunarLanderContinuous-v2,241.54351706709417
2,UMDAc,LunarLanderContinuous-v2,241.0862182610718
2,UMDAc,LunarLanderContinuous-v2,262.23277782067817
2,UMDAc,LunarLanderContinuous-v2,289.2174313118811
2,UMDAc,LunarLanderContinuous-v2,290.22035736843384
2,UMDAc,LunarLanderContinuous-v2,241.94912199950863
2,UMDAc,LunarLanderContinuous-v2,302.2987923072568
2,UMDAc,LunarLanderContinuous-v2,261.60077154873386
2,UMDAc,LunarLanderContinuous-v2,277.9667797853118
2,UMDAc,LunarLanderContinuous-v2,297.70179114999223
2,UMDAc,LunarLanderContinuous-v2,223.46101036607345
2,UMDAc,LunarLanderContinuous-v2,277.69130521734115
2,UMDAc,LunarLanderContinuous-v2,275.0066398485718
2,UMDAc,LunarLanderContinuous-v2,310.8969063408972
2,UMDAc,LunarLanderContinuous-v2,248.10349876176085
2,UMDAc,LunarLanderContinuous-v2,306.59585656741933
2,UMDAc,LunarLanderContinuous-v2,292.34512490644204
2,UMDAc,LunarLanderContinuous-v2,156.36308637328986
2,UMDAc,LunarLanderContinuous-v2,296.7495346839926
2,UMDAc,LunarLanderContinuous-v2,262.15540867516006
2,UMDAc,LunarLanderContinuous-v2,271.1195679388098
2,UMDAc,LunarLanderContinuous-v2,241.30248779287237
2,UMDAc,LunarLanderContinuous-v2,282.199513691379
2,UMDAc,LunarLanderContinuous-v2,253.75056987328298
2,UMDAc,LunarLanderContinuous-v2,275.6294745322894
2,UMDAc,LunarLanderContinuous-v2,315.553646814694
2,UMDAc,LunarLanderContinuous-v2,269.2083629685013
2,UMDAc,LunarLanderContinuous-v2,295.1035229957357
2,UMDAc,LunarLanderContinuous-v2,286.21559728463376
2,UMDAc,LunarLanderContinuous-v2,269.349826292515
2,UMDAc,LunarLanderContinuous-v2,33.51053902488965
2,UMDAc,LunarLanderContinuous-v2,304.54821206254024
2,UMDAc,LunarLanderContinuous-v2,261.6469238930682
2,UMDAc,LunarLanderContinuous-v2,288.7633305298677
2,UMDAc,LunarLanderContinuous-v2,267.0120539194106
2,UMDAc,LunarLanderContinuous-v2,239.0086375456239
2,UMDAc,LunarLanderContinuous-v2,272.23533445166913
2,UMDAc,LunarLanderContinuous-v2,94.9989017341257
2,UMDAc,LunarLanderContinuous-v2,296.85523207087385
2,UMDAc,LunarLanderContinuous-v2,288.22680319792147
2,UMDAc,LunarLanderContinuous-v2,293.8750147805818
2,UMDAc,LunarLanderContinuous-v2,274.12726898995686
2,UMDAc,LunarLanderContinuous-v2,280.2845963252057
2,UMDAc,LunarLanderContinuous-v2,293.77354867799255
2,UMDAc,LunarLanderContinuous-v2,251.4897586326051
2,UMDAc,LunarLanderContinuous-v2,262.51800119101193
2,UMDAc,LunarLanderContinuous-v2,236.9914893173617
2,UMDAc,LunarLanderContinuous-v2,240.73475863173962
2,UMDAc,LunarLanderContinuous-v2,258.37450200530066
2,UMDAc,LunarLanderContinuous-v2,-22.501722536526103
2,UMDAc,LunarLanderContinuous-v2,291.5290637363763
2,UMDAc,LunarLanderContinuous-v2,291.58742447621677
2,UMDAc,LunarLanderContinuous-v2,228.80178459749305
2,UMDAc,LunarLanderContinuous-v2,253.1924921873376
2,UMDAc,LunarLanderContinuous-v2,260.0811739623424
2,UMDAc,LunarLanderContinuous-v2,318.8123053002554
2,UMDAc,LunarLanderContinuous-v2,204.41742396624613
2,UMDAc,LunarLanderContinuous-v2,298.54376746923356
2,UMDAc,LunarLanderContinuous-v2,234.1985207252715
2,UMDAc,LunarLanderContinuous-v2,257.3294121214318
2,UMDAc,LunarLanderContinuous-v2,251.44474397430582
2,UMDAc,LunarLanderContinuous-v2,269.6288246839822
2,UMDAc,LunarLanderContinuous-v2,296.1585427996986
2,UMDAc,LunarLanderContinuous-v2,256.0258451090328
2,UMDAc,LunarLanderContinuous-v2,299.78956576735993
2,UMDAc,LunarLanderContinuous-v2,296.5067424107966
2,UMDAc,LunarLanderContinuous-v2,295.08223319212107
2,UMDAc,LunarLanderContinuous-v2,279.8116823176953
3,UMDAc,LunarLanderContinuous-v2,254.8186545168115
3,UMDAc,LunarLanderContinuous-v2,59.51991045287565
3,UMDAc,LunarLanderContinuous-v2,35.15664929340565
3,UMDAc,LunarLanderContinuous-v2,12.844251281312808
3,UMDAc,LunarLanderContinuous-v2,-15.032013400543576
3,UMDAc,LunarLanderContinuous-v2,293.93574187989935
